projeto,titulo_em_phases,wbs_em_activities,id_phases,id_activities
Teste 26/08/2026 - Tasy,1.1 Fase de Planejamento e Lançamento,1.1,07e216b1,480bc288
Teste  - Revitalização Tasy,1.3 3ª Fase - Validações / Testes /Ajustes/ Documentações,1.3,0b066038,a221e6ab
Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,0d90bd41,a960dfc4
Serviço de Ultrassonografia,1.9 Financeiro e Faturamento,1.9,0f0f5ec6,314fdbff
Serviço de Ultrassonografia,1.1 Iniciação,1.1,16c7b331,8b2f0f4e
Serviço de Ultrassonografia,1.8 Recursos Humanos e Capacitação,1.8,17f2d792,c2428e77
Teste  - Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,19cf8d3b,9456cef4
Serviço de Ultrassonografia,1.7 Processos Assistenciais,1.7,1d0ec3cd,3ee981dd
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.1 Paciente entra com sua conta,1.1,22ddbb56,2ae661d3
Revitalização Tasy,1.4 4ª. Fase ETAPA I- Teste Piloto / Liberação / Acompanhamento,1.4,23ec8dd7,b989b2ec
Teste - Revitalização Tasy,1.2 2ª. Fase - Cadastros e funções essenciais,1.2,24d52f6c,651a3ba4
Teste 26/08/2026 - Tasy,1.2 Fase de Cadastros e Funções Essenciais,1.2,2d505ba2,b68f28cd
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.7 Cadastro mais completo e confiavel,1.7,2e01c014,1bf546cb
Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,3188c968,0678bc33
Guia Jornada do Paciente - Pronutrir Onboard - Desenvolvimento,1.9 Paciente instala o app e cuida do proprio acesso,1.9,321d2b30,6601db13
Serviço de Ultrassonografia,1.5 Equipamentos e Insumos,1.5,3bdc1b31,285e6103
Teste  - Revitalização Tasy,1.4 4ª. Fase ETAPA I- Teste Piloto / Liberação / Acompanhamento,1.4,4c60e196,76754f25
Revitalização Tasy,1.3 3ª Fase - Validações / Testes /Ajustes/ Documentações,1.3,4e2d8ead,b405bf55
Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,54cee826,8277fd50
Teste - Revitalização Tasy,1.1 1ª. Fase - Planejamento e Lançamento,1.1,571f8055,9be87a73
Serviço de Ultrassonografia,1.11 Qualidade,1.11,5d1cbf5b,b7abc798
Serviço de Ultrassonografia,1.3 Governança e Modelo de Negócio,1.3,625c7f40,4f8331f3
